cell_type	product_name	dose	n_cells	n_sig_deg
A549	Selisistat (EX 527)	10000.0	192	1098
A549	Sirtinol	10.0	222	786
A549	Sirtinol	100.0	224	911
A549	Sirtinol	1000.0	204	1301
A549	Sirtinol	10000.0	228	862
A549	Sodium Phenylbutyrate	10.0	249	595
A549	Sodium Phenylbutyrate	100.0	201	1280
A549	Sodium Phenylbutyrate	1000.0	242	846
A549	Sodium Phenylbutyrate	10000.0	245	706
A549	Sorafenib Tosylate	10.0	237	1006
A549	Sorafenib Tosylate	100.0	209	1273
A549	Sorafenib Tosylate	1000.0	199	1059
A549	Sorafenib Tosylate	10000.0	119	2600
A549	Streptozotocin (STZ)	10.0	244	648
A549	Streptozotocin (STZ)	100.0	208	988
A549	Streptozotocin (STZ)	1000.0	236	793
A549	Streptozotocin (STZ)	10000.0	192	1283
A549	TAK-901	10.0	168	1046
A549	TAK-901	100.0	149	1365
A549	TAK-901	1000.0	129	1635
A549	TAK-901	10000.0	92	2259
A549	TG101209	10.0	199	921
A549	TG101209	100.0	285	636
A549	TG101209	1000.0	177	1307
A549	TG101209	10000.0	115	3072
A549	TGX-221	10.0	216	1154
A549	TGX-221	100.0	207	1229
A549	TGX-221	1000.0	200	1133
A549	TGX-221	10000.0	204	1109
A549	TMP195	10.0	180	1100
A549	TMP195	100.0	44	4915
A549	TMP195	1000.0	137	1975
A549	TMP195	10000.0	166	1702
A549	Tacedinaline (CI994)	10.0	219	830
A549	Tacedinaline (CI994)	100.0	237	898
A549	Tacedinaline (CI994)	1000.0	207	745
A549	Tacedinaline (CI994)	10000.0	218	1454
A549	Tanespimycin (17-AAG)	10.0	214	925
A549	Tanespimycin (17-AAG)	100.0	173	1514
A549	Tanespimycin (17-AAG)	1000.0	133	2587
A549	Tanespimycin (17-AAG)	10000.0	97	3517
A549	Tazemetostat (EPZ-6438)	10.0	199	1112
A549	Tazemetostat (EPZ-6438)	100.0	224	1093
A549	Tazemetostat (EPZ-6438)	1000.0	174	1562
A549	Tazemetostat (EPZ-6438)	10000.0	189	1280
A549	Temsirolimus (CCI-779, NSC 683864)	10.0	144	1797
A549	Temsirolimus (CCI-779, NSC 683864)	100.0	96	3045
A549	Temsirolimus (CCI-779, NSC 683864)	1000.0	186	1588
A549	Temsirolimus (CCI-779, NSC 683864)	10000.0	133	2305
A549	Thalidomide	10.0	204	877
A549	Thalidomide	100.0	192	1506
A549	Thalidomide	1000.0	183	1264
A549	Thalidomide	10000.0	201	1159
A549	Thiotepa	10.0	257	753
A549	Thiotepa	100.0	228	1084
A549	Thiotepa	1000.0	188	1281
A549	Thiotepa	10000.0	168	1371
A549	Tie2 kinase inhibitor	10.0	226	833
A549	Tie2 kinase inhibitor	100.0	210	1128
A549	Tie2 kinase inhibitor	1000.0	207	1070
A549	Tie2 kinase inhibitor	10000.0	262	855
A549	Tofacitinib (CP-690550) Citrate	10.0	216	761
A549	Tofacitinib (CP-690550) Citrate	100.0	191	1301
A549	Tofacitinib (CP-690550) Citrate	1000.0	211	1117
A549	Tofacitinib (CP-690550) Citrate	10000.0	220	844
A549	Toremifene Citrate	10.0	214	1126
A549	Toremifene Citrate	100.0	209	1273
A549	Toremifene Citrate	1000.0	193	1148
A549	Toremifene Citrate	10000.0	68	4472
A549	Tozasertib (VX-680, MK-0457)	10.0	147	1572
A549	Tozasertib (VX-680, MK-0457)	100.0	47	3323
A549	Tozasertib (VX-680, MK-0457)	1000.0	148	1269
A549	Tozasertib (VX-680, MK-0457)	10000.0	121	1314
A549	Trametinib (GSK1120212)	10.0	99	4579
A549	Trametinib (GSK1120212)	100.0	167	4370
A549	Trametinib (GSK1120212)	1000.0	196	3796
A549	Trametinib (GSK1120212)	10000.0	145	4037
A549	Tranylcypromine (2-PCPA) HCl	10.0	284	551
A549	Tranylcypromine (2-PCPA) HCl	100.0	233	991
A549	Tranylcypromine (2-PCPA) HCl	1000.0	195	990
A549	Tranylcypromine (2-PCPA) HCl	10000.0	242	790
A549	Triamcinolone Acetonide	10.0	212	2322
A549	Triamcinolone Acetonide	100.0	209	2704
A549	Triamcinolone Acetonide	1000.0	198	2545
A549	Triamcinolone Acetonide	10000.0	202	2619
A549	Trichostatin A (TSA)	10.0	231	891
A549	Trichostatin A (TSA)	100.0	205	887
A549	Trichostatin A (TSA)	1000.0	198	1492
A549	Trichostatin A (TSA)	10000.0	146	4325
A549	Tubastatin A HCl	10.0	242	732
A549	Tubastatin A HCl	100.0	250	699
A549	Tubastatin A HCl	1000.0	221	863
A549	Tubastatin A HCl	10000.0	236	658
A549	Tucidinostat (Chidamide)	10.0	171	1091
A549	Tucidinostat (Chidamide)	100.0	48	4464
A549	Tucidinostat (Chidamide)	1000.0	173	1476
A549	Tucidinostat (Chidamide)	10000.0	149	1892
A549	UNC0379	10.0	249	814
A549	UNC0379	100.0	235	1019
A549	UNC0379	1000.0	236	754
A549	UNC0379	10000.0	144	3983
A549	UNC0631	10.0	222	846
A549	UNC0631	100.0	211	1242
A549	UNC0631	1000.0	206	939
A549	UNC0631	10000.0	208	982
A549	UNC1999	10.0	199	1078
A549	UNC1999	100.0	144	1845
A549	UNC1999	1000.0	198	1466
A549	UNC1999	10000.0	175	1608
A549	Valproic acid sodium salt (Sodium valproate)	10.0	229	917
A549	Valproic acid sodium salt (Sodium valproate)	100.0	199	1205
A549	Valproic acid sodium salt (Sodium valproate)	1000.0	219	1069
A549	Valproic acid sodium salt (Sodium valproate)	10000.0	261	651
A549	Vandetanib (ZD6474)	10.0	199	1048
A549	Vandetanib (ZD6474)	100.0	208	999
A549	Vandetanib (ZD6474)	1000.0	228	814
A549	Vandetanib (ZD6474)	10000.0	162	1659
A549	Veliparib (ABT-888)	10.0	215	860
A549	Veliparib (ABT-888)	100.0	217	786
A549	Veliparib (ABT-888)	1000.0	213	779
A549	Veliparib (ABT-888)	10000.0	227	806
A549	WHI-P154	10.0	237	715
A549	WHI-P154	100.0	250	748
A549	WHI-P154	1000.0	239	772
A549	WHI-P154	10000.0	202	1142
A549	WP1066	10.0	238	829
A549	WP1066	100.0	268	677
A549	WP1066	1000.0	232	967
A549	WP1066	10000.0	214	846
A549	XAV-939	10.0	164	1267
A549	XAV-939	100.0	190	1013
A549	XAV-939	1000.0	247	691
A549	XAV-939	10000.0	113	2303
A549	YM155 (Sepantronium Bromide)	10.0	78	3744
A549	YM155 (Sepantronium Bromide)	100.0	66	6323
A549	YM155 (Sepantronium Bromide)	1000.0	36	8464
A549	YM155 (Sepantronium Bromide)	10000.0	20	9119
A549	ZM 447439	10.0	184	1248
A549	ZM 447439	100.0	193	1229
A549	ZM 447439	1000.0	144	1661
A549	ZM 447439	10000.0	115	1671
A549	Zileuton	10.0	250	731
A549	Zileuton	100.0	216	962
A549	Zileuton	1000.0	261	632
A549	Zileuton	10000.0	193	746
K562	2-Methoxyestradiol (2-MeOE2)	10.0	224	1047
K562	2-Methoxyestradiol (2-MeOE2)	100.0	215	1259
K562	2-Methoxyestradiol (2-MeOE2)	1000.0	132	2004
K562	2-Methoxyestradiol (2-MeOE2)	10000.0	63	3826
K562	(+)-JQ1	10.0	203	1743
K562	(+)-JQ1	100.0	180	2448
K562	(+)-JQ1	1000.0	124	3663
K562	(+)-JQ1	10000.0	114	4601
K562	A-366	10.0	254	1005
K562	A-366	100.0	201	1043
K562	A-366	1000.0	234	1149
K562	A-366	10000.0	211	1133
K562	ABT-737	10.0	217	1041
K562	ABT-737	100.0	233	947
K562	ABT-737	1000.0	172	1735
K562	ABT-737	10000.0	170	1515
K562	AC480 (BMS-599626)	10.0	205	943
K562	AC480 (BMS-599626)	100.0	209	1335
K562	AC480 (BMS-599626)	1000.0	247	900
K562	AC480 (BMS-599626)	10000.0	140	2390
K562	AG-490 (Tyrphostin B42)	10.0	227	1067
K562	AG-490 (Tyrphostin B42)	100.0	230	1150
K562	AG-490 (Tyrphostin B42)	1000.0	270	838
K562	AG-490 (Tyrphostin B42)	10000.0	225	1049
K562	AG-14361	10.0	220	1147
K562	AG-14361	100.0	208	1138
K562	AG-14361	1000.0	200	1300
K562	AG-14361	10000.0	196	1728
K562	AICAR (Acadesine)	10.0	205	1180
K562	AICAR (Acadesine)	100.0	231	913
K562	AICAR (Acadesine)	1000.0	218	1329
K562	AICAR (Acadesine)	10000.0	242	830
K562	AMG-900	10.0	173	651
K562	AMG-900	100.0	181	781
K562	AMG-900	1000.0	194	470
K562	AMG-900	10000.0	179	927
K562	AR-42	10.0	214	1297
K562	AR-42	100.0	157	2373
K562	AR-42	1000.0	89	4589
K562	AR-42	10000.0	71	5490
K562	AT9283	10.0	191	637
K562	AT9283	100.0	147	1213
K562	AT9283	1000.0	115	1915
K562	AT9283	10000.0	78	4330
K562	AZ 960	10.0	206	1146
K562	AZ 960	100.0	224	1235
K562	AZ 960	1000.0	140	1984
K562	AZ 960	10000.0	125	1537
K562	AZD1480	10.0	230	1053
K562	AZD1480	100.0	207	1227
K562	AZD1480	1000.0	167	1855
K562	AZD1480	10000.0	89	2613
K562	Abexinostat (PCI-24781)	10.0	191	1363
K562	Abexinostat (PCI-24781)	100.0	159	2197
K562	Abexinostat (PCI-24781)	1000.0	99	4507
K562	Abexinostat (PCI-24781)	10000.0	70	5802
K562	Alendronate sodium trihydrate	10.0	283	698
K562	Alendronate sodium trihydrate	100.0	213	881
K562	Alendronate sodium trihydrate	1000.0	188	1446
K562	Alendronate sodium trihydrate	10000.0	236	825
K562	Alisertib (MLN8237)	10.0	105	1890
K562	Alisertib (MLN8237)	100.0	155	839
K562	Alisertib (MLN8237)	1000.0	177	771
K562	Alisertib (MLN8237)	10000.0	105	2708
K562	Altretamine	10.0	238	955
K562	Altretamine	100.0	244	896
K562	Altretamine	1000.0	252	853
K562	Altretamine	10000.0	196	1400
K562	Alvespimycin (17-DMAG) HCl	10.0	214	1134
K562	Alvespimycin (17-DMAG) HCl	100.0	124	3247
K562	Alvespimycin (17-DMAG) HCl	1000.0	106	4721
K562	Alvespimycin (17-DMAG) HCl	10000.0	96	4599
K562	Aminoglutethimide 	10.0	259	810
K562	Aminoglutethimide 	100.0	234	1094
K562	Aminoglutethimide 	1000.0	255	828
K562	Aminoglutethimide 	10000.0	251	974
K562	Amisulpride	10.0	267	911
K562	Amisulpride	100.0	230	1225
K562	Amisulpride	1000.0	227	1045
K562	Amisulpride	10000.0	259	791
K562	Anacardic Acid	10.0	225	1173
K562	Anacardic Acid	100.0	227	1131
K562	Anacardic Acid	1000.0	180	1692
K562	Anacardic Acid	10000.0	190	1702
K562	Andarine	10.0	224	875
K562	Andarine	100.0	228	997
K562	Andarine	1000.0	220	1011
K562	Andarine	10000.0	241	904
K562	Aurora A Inhibitor I	10.0	224	1190
K562	Aurora A Inhibitor I	100.0	231	1084
K562	Aurora A Inhibitor I	1000.0	225	819
K562	Aurora A Inhibitor I	10000.0	135	1758
K562	Avagacestat (BMS-708163)	10.0	233	1074
K562	Avagacestat (BMS-708163)	100.0	226	1134
K562	Avagacestat (BMS-708163)	1000.0	204	1242
K562	Avagacestat (BMS-708163)	10000.0	160	1894
K562	Azacitidine 	10.0	227	1032
K562	Azacitidine 	100.0	189	1595
K562	Azacitidine 	1000.0	161	2133
K562	Azacitidine 	10000.0	187	2390
K562	BMS-265246	10.0	235	983
K562	BMS-265246	100.0	233	1033
K562	BMS-265246	1000.0	228	991
K562	BMS-265246	10000.0	176	1259
K562	BMS-536924	10.0	237	801
K562	BMS-536924	100.0	232	1079
K562	BMS-536924	1000.0	263	709
K562	BMS-536924	10000.0	191	1660
K562	BMS-754807	10.0	227	934
K562	BMS-754807	100.0	254	934
K562	BMS-754807	1000.0	238	862
K562	BMS-754807	10000.0	183	705
K562	BMS-911543	10.0	166	1749
K562	BMS-911543	100.0	176	1758
K562	BMS-911543	1000.0	210	1272
K562	BMS-911543	10000.0	231	1071
K562	BRD4770	10.0	256	860
K562	BRD4770	100.0	205	1328
K562	BRD4770	1000.0	213	1275
K562	BRD4770	10000.0	181	1635
K562	Barasertib (AZD1152-HQPA)	10.0	181	827
K562	Barasertib (AZD1152-HQPA)	100.0	152	879
K562	Barasertib (AZD1152-HQPA)	1000.0	153	870
K562	Barasertib (AZD1152-HQPA)	10000.0	158	1018
K562	Baricitinib (LY3009104, INCB028050)	10.0	228	1201
K562	Baricitinib (LY3009104, INCB028050)	100.0	210	1116
K562	Baricitinib (LY3009104, INCB028050)	1000.0	241	885
K562	Baricitinib (LY3009104, INCB028050)	10000.0	220	1424
K562	Belinostat (PXD101)	10.0	221	1186
K562	Belinostat (PXD101)	100.0	203	1339
K562	Belinostat (PXD101)	1000.0	179	2853
K562	Belinostat (PXD101)	10000.0	58	5137
K562	Bisindolylmaleimide IX (Ro 31-8220 Mesylate)	10.0	255	1029
K562	Bisindolylmaleimide IX (Ro 31-8220 Mesylate)	100.0	183	1774
K562	Bisindolylmaleimide IX (Ro 31-8220 Mesylate)	1000.0	193	1587
K562	Bisindolylmaleimide IX (Ro 31-8220 Mesylate)	10000.0	7	12651
K562	Bosutinib (SKI-606)	10.0	187	2143
K562	Bosutinib (SKI-606)	100.0	130	3469
K562	Bosutinib (SKI-606)	1000.0	71	4902
K562	Bosutinib (SKI-606)	10000.0	43	5579
K562	Busulfan 	10.0	231	1052
K562	Busulfan 	100.0	249	916
K562	Busulfan 	1000.0	282	651
K562	Busulfan 	10000.0	236	800
K562	CEP-33779	10.0	222	997
K562	CEP-33779	100.0	195	1687
K562	CEP-33779	1000.0	229	1082
K562	CEP-33779	10000.0	192	1652
K562	CUDC-101	10.0	265	727
K562	CUDC-101	100.0	183	1721
K562	CUDC-101	1000.0	162	2487
K562	CUDC-101	10000.0	63	5542
K562	CUDC-907	10.0	126	3622
K562	CUDC-907	100.0	79	4835
K562	CUDC-907	1000.0	78	4871
K562	CUDC-907	10000.0	28	7843
K562	CYC116	10.0	224	909
K562	CYC116	100.0	210	1085
K562	CYC116	1000.0	221	976
K562	CYC116	10000.0	165	946
K562	Capecitabine 	10.0	236	1087
K562	Capecitabine 	100.0	227	877
K562	Capecitabine 	1000.0	248	815
K562	Capecitabine 	10000.0	275	634
K562	Carmofur	10.0	236	958
K562	Carmofur	100.0	220	1041
K562	Carmofur	1000.0	268	803
K562	Carmofur	10000.0	247	867
K562	Cediranib (AZD2171)	10.0	240	815
K562	Cediranib (AZD2171)	100.0	261	989
K562	Cediranib (AZD2171)	1000.0	252	922
K562	Cediranib (AZD2171)	10000.0	99	4149
K562	Celecoxib	10.0	201	1310
K562	Celecoxib	100.0	206	1293
K562	Celecoxib	1000.0	227	888
K562	Celecoxib	10000.0	234	1136
K562	Cerdulatinib (PRT062070, PRT2070)	10.0	250	1074
K562	Cerdulatinib (PRT062070, PRT2070)	100.0	220	1274
K562	Cerdulatinib (PRT062070, PRT2070)	1000.0	209	1399
K562	Cerdulatinib (PRT062070, PRT2070)	10000.0	194	1006
K562	Cimetidine 	10.0	198	1301
K562	Cimetidine 	100.0	213	1322
K562	Cimetidine 	1000.0	207	1077
K562	Cimetidine 	10000.0	204	1029
K562	Clevudine 	10.0	220	1140
K562	Clevudine 	100.0	209	1522
K562	Clevudine 	1000.0	203	1474
K562	Clevudine 	10000.0	214	1379
K562	Costunolide	10.0	253	899
K562	Costunolide	100.0	255	909
K562	Costunolide	1000.0	205	1267
K562	Costunolide	10000.0	244	866
K562	Crizotinib (PF-02341066)	10.0	232	872
K562	Crizotinib (PF-02341066)	100.0	208	1329
K562	Crizotinib (PF-02341066)	1000.0	118	2290
K562	Crizotinib (PF-02341066)	10000.0	76	3826
K562	Curcumin	10.0	258	814
K562	Curcumin	100.0	204	1266
K562	Curcumin	1000.0	236	1034
K562	Curcumin	10000.0	220	936
K562	Cyclocytidine HCl	10.0	189	900
K562	Cyclocytidine HCl	100.0	236	622
K562	Cyclocytidine HCl	1000.0	193	818
K562	Cyclocytidine HCl	10000.0	214	896
K562	Dacinostat (LAQ824)	10.0	126	3729
K562	Dacinostat (LAQ824)	100.0	100	4189
K562	Dacinostat (LAQ824)	1000.0	90	5543
K562	Dacinostat (LAQ824)	10000.0	74	5580
K562	Danusertib (PHA-739358)	10.0	174	1546
K562	Danusertib (PHA-739358)	100.0	134	2064
K562	Danusertib (PHA-739358)	1000.0	108	2968
K562	Danusertib (PHA-739358)	10000.0	111	3192
K562	Daphnetin	10.0	225	1078
K562	Daphnetin	100.0	197	1214
K562	Daphnetin	1000.0	210	1470
K562	Daphnetin	10000.0	179	1621
K562	Dasatinib	10.0	107	3950
K562	Dasatinib	100.0	106	3864
K562	Dasatinib	1000.0	89	4570
K562	Dasatinib	10000.0	102	3715
K562	Decitabine	10.0	219	986
K562	Decitabine	100.0	188	1406
K562	Decitabine	1000.0	152	2140
K562	Decitabine	10000.0	184	1478
K562	Disulfiram 	10.0	205	1148
K562	Disulfiram 	100.0	245	948
K562	Disulfiram 	1000.0	246	819
K562	Disulfiram 	10000.0	216	1160
K562	Divalproex Sodium	10.0	230	1066
K562	Divalproex Sodium	100.0	196	1561
K562	Divalproex Sodium	1000.0	255	883
K562	Divalproex Sodium	10000.0	210	1242
K562	Droxinostat	10.0	191	1242
K562	Droxinostat	100.0	197	1486
K562	Droxinostat	1000.0	225	1314
K562	Droxinostat	10000.0	173	1608
K562	EED226	10.0	227	1094
K562	EED226	100.0	220	1222
K562	EED226	1000.0	216	1290
K562	EED226	10000.0	196	1567
K562	ENMD-2076	10.0	242	910
K562	ENMD-2076	100.0	181	1568
K562	ENMD-2076	1000.0	156	1115
K562	ENMD-2076	10000.0	136	1954
K562	ENMD-2076 L-(+)-Tartaric acid 	10.0	194	1559
K562	ENMD-2076 L-(+)-Tartaric acid 	100.0	204	1468
K562	ENMD-2076 L-(+)-Tartaric acid 	1000.0	142	1517
K562	ENMD-2076 L-(+)-Tartaric acid 	10000.0	134	2448
K562	Ellagic acid	10.0	169	1345
K562	Ellagic acid	100.0	207	1351
K562	Ellagic acid	1000.0	161	1877
K562	Ellagic acid	10000.0	245	947
K562	Entacapone	10.0	234	1090
K562	Entacapone	100.0	203	1531
K562	Entacapone	1000.0	202	1499
K562	Entacapone	10000.0	215	1269
K562	Entinostat (MS-275)	10.0	223	919
K562	Entinostat (MS-275)	100.0	226	1040
K562	Entinostat (MS-275)	1000.0	203	1878
K562	Entinostat (MS-275)	10000.0	101	4374
K562	Enzastaurin (LY317615)	10.0	158	1468
K562	Enzastaurin (LY317615)	100.0	201	1342
K562	Enzastaurin (LY317615)	1000.0	243	990
K562	Enzastaurin (LY317615)	10000.0	145	2437
K562	Epothilone A	10.0	96	2880
K562	Epothilone A	100.0	43	4868
K562	Epothilone A	1000.0	54	4701
K562	Epothilone A	10000.0	70	3515
K562	FLLL32	10.0	250	1006
K562	FLLL32	100.0	210	1257
K562	FLLL32	1000.0	211	1262
K562	FLLL32	10000.0	80	3607
K562	Fasudil (HA-1077) HCl	10.0	226	1079
K562	Fasudil (HA-1077) HCl	100.0	195	1582
K562	Fasudil (HA-1077) HCl	1000.0	214	1126
K562	Fasudil (HA-1077) HCl	10000.0	189	1660
K562	Fedratinib (SAR302503, TG101348)	10.0	221	1159
K562	Fedratinib (SAR302503, TG101348)	100.0	156	1591
K562	Fedratinib (SAR302503, TG101348)	1000.0	151	2145
K562	Fedratinib (SAR302503, TG101348)	10000.0	54	6343
K562	Filgotinib (GLPG0634)	10.0	240	1142
K562	Filgotinib (GLPG0634)	100.0	190	1386
K562	Filgotinib (GLPG0634)	1000.0	208	1522
K562	Filgotinib (GLPG0634)	10000.0	208	1100
K562	Flavopiridol HCl	10.0	196	1609
K562	Flavopiridol HCl	100.0	144	2826
K562	Flavopiridol HCl	1000.0	15	11026
K562	Flavopiridol HCl	10000.0	6	13219
K562	Fluorouracil (5-Fluoracil, 5-FU)	10.0	243	820
K562	Fluorouracil (5-Fluoracil, 5-FU)	100.0	207	1318
K562	Fluorouracil (5-Fluoracil, 5-FU)	1000.0	211	1220
K562	Fluorouracil (5-Fluoracil, 5-FU)	10000.0	252	702
K562	Fulvestrant	10.0	217	1071
K562	Fulvestrant	100.0	221	1178
K562	Fulvestrant	1000.0	203	1296
K562	Fulvestrant	10000.0	201	1126
K562	G007-LK	10.0	203	1188
K562	G007-LK	100.0	184	1638
K562	G007-LK	1000.0	172	1510
K562	G007-LK	10000.0	179	1923
K562	GSK1070916	10.0	180	620
K562	GSK1070916	100.0	143	1218
K562	GSK1070916	1000.0	138	1261
K562	GSK1070916	10000.0	137	1637
K562	GSK J1	10.0	212	1024
K562	GSK J1	100.0	218	1239
K562	GSK J1	1000.0	229	1183
K562	GSK J1	10000.0	182	1507
K562	GSK-LSD1 2HCl	10.0	259	932
K562	GSK-LSD1 2HCl	100.0	185	1512
K562	GSK-LSD1 2HCl	1000.0	169	1714
K562	GSK-LSD1 2HCl	10000.0	205	1418
K562	Gandotinib (LY2784544)	10.0	187	1534
K562	Gandotinib (LY2784544)	100.0	206	1160
K562	Gandotinib (LY2784544)	1000.0	204	1428
K562	Gandotinib (LY2784544)	10000.0	166	1062
K562	Givinostat (ITF2357)	10.0	206	1118
K562	Givinostat (ITF2357)	100.0	190	1592
K562	Givinostat (ITF2357)	1000.0	119	3509
K562	Givinostat (ITF2357)	10000.0	76	5971
K562	Glesatinib?(MGCD265)	10.0	233	748
K562	Glesatinib?(MGCD265)	100.0	252	789
K562	Glesatinib?(MGCD265)	1000.0	212	1067
K562	Glesatinib?(MGCD265)	10000.0	94	4710
K562	Hesperadin	10.0	174	758
K562	Hesperadin	100.0	157	1101
K562	Hesperadin	1000.0	181	1024
K562	Hesperadin	10000.0	114	3839
K562	INO-1001 (3-Aminobenzamide)	10.0	208	1234
K562	INO-1001 (3-Aminobenzamide)	100.0	224	1331
K562	INO-1001 (3-Aminobenzamide)	1000.0	229	997
K562	INO-1001 (3-Aminobenzamide)	10000.0	220	1030
K562	IOX2	10.0	215	1162
K562	IOX2	100.0	225	1255
K562	IOX2	1000.0	192	1607
K562	IOX2	10000.0	221	982
K562	ITSA-1 (ITSA1)	10.0	198	1050
K562	ITSA-1 (ITSA1)	100.0	184	1602
K562	ITSA-1 (ITSA1)	1000.0	182	1695
K562	ITSA-1 (ITSA1)	10000.0	173	1622
K562	Iniparib (BSI-201)	10.0	169	1738
K562	Iniparib (BSI-201)	100.0	170	1674
K562	Iniparib (BSI-201)	1000.0	240	1015
K562	Iniparib (BSI-201)	10000.0	170	1614
K562	Ivosidenib (AG-120)	10.0	161	1470
K562	Ivosidenib (AG-120)	100.0	225	1059
K562	Ivosidenib (AG-120)	1000.0	237	888
K562	Ivosidenib (AG-120)	10000.0	165	1536
K562	JNJ-7706621	10.0	229	1108
K562	JNJ-7706621	100.0	231	720
K562	JNJ-7706621	1000.0	178	1014
K562	JNJ-7706621	10000.0	68	6863
K562	JNJ-26854165 (Serdemetan)	10.0	208	1132
K562	JNJ-26854165 (Serdemetan)	100.0	158	1731
K562	JNJ-26854165 (Serdemetan)	1000.0	232	1102
K562	JNJ-26854165 (Serdemetan)	10000.0	201	1244
K562	KW-2449	10.0	207	1287
K562	KW-2449	100.0	206	1499
K562	KW-2449	1000.0	183	1182
K562	KW-2449	10000.0	150	1634
K562	Ki8751	10.0	207	1101
K562	Ki8751	100.0	207	1127
K562	Ki8751	1000.0	222	1092
K562	Ki8751	10000.0	161	2009
K562	Ki16425	10.0	235	925
K562	Ki16425	100.0	211	1258
K562	Ki16425	1000.0	221	1090
K562	Ki16425	10000.0	201	1300
K562	Lapatinib (GW-572016) Ditosylate	10.0	245	883
K562	Lapatinib (GW-572016) Ditosylate	100.0	226	1006
K562	Lapatinib (GW-572016) Ditosylate	1000.0	180	1566
K562	Lapatinib (GW-572016) Ditosylate	10000.0	167	1633
K562	Lenalidomide (CC-5013)	10.0	220	1079
K562	Lenalidomide (CC-5013)	100.0	215	1114
K562	Lenalidomide (CC-5013)	1000.0	219	1202
K562	Lenalidomide (CC-5013)	10000.0	235	948
K562	Linifanib (ABT-869)	10.0	230	1037
K562	Linifanib (ABT-869)	100.0	223	1221
K562	Linifanib (ABT-869)	1000.0	219	1211
K562	Linifanib (ABT-869)	10000.0	224	1074
K562	Lomustine 	10.0	215	978
K562	Lomustine 	100.0	224	1020
K562	Lomustine 	1000.0	210	1066
K562	Lomustine 	10000.0	188	1169
K562	Luminespib (AUY-922, NVP-AUY922)	10.0	190	1570
K562	Luminespib (AUY-922, NVP-AUY922)	100.0	89	4824
K562	Luminespib (AUY-922, NVP-AUY922)	1000.0	80	4970
K562	Luminespib (AUY-922, NVP-AUY922)	10000.0	77	4970
K562	M344	10.0	219	1201
K562	M344	100.0	192	1463
K562	M344	1000.0	125	3386
K562	M344	10000.0	55	5919
K562	MC1568	10.0	190	1752
K562	MC1568	100.0	215	1377
K562	MC1568	1000.0	252	1131
K562	MC1568	10000.0	219	1148
K562	MK-0752	10.0	212	1006
K562	MK-0752	100.0	206	1235
K562	MK-0752	1000.0	228	1096
K562	MK-0752	10000.0	207	1042
K562	MK-5108 (VX-689)	10.0	217	1130
K562	MK-5108 (VX-689)	100.0	181	1350
K562	MK-5108 (VX-689)	1000.0	193	1096
K562	MK-5108 (VX-689)	10000.0	64	3921
K562	MLN8054	10.0	151	1738
K562	MLN8054	100.0	91	2607
K562	MLN8054	1000.0	158	930
K562	MLN8054	10000.0	178	919
K562	Maraviroc	10.0	192	1576
K562	Maraviroc	100.0	211	1169
K562	Maraviroc	1000.0	255	848
K562	Maraviroc	10000.0	196	1135
K562	Meprednisone	10.0	207	1106
K562	Meprednisone	100.0	243	1024
K562	Meprednisone	1000.0	231	699
K562	Meprednisone	10000.0	277	614
K562	Mercaptopurine (6-MP)	10.0	207	1214
K562	Mercaptopurine (6-MP)	100.0	231	999
K562	Mercaptopurine (6-MP)	1000.0	174	1580
K562	Mercaptopurine (6-MP)	10000.0	153	2327
K562	Mesna 	10.0	214	947
K562	Mesna 	100.0	250	948
K562	Mesna 	1000.0	246	950
K562	Mesna 	10000.0	263	717
K562	Mocetinostat (MGCD0103)	10.0	140	2448
K562	Mocetinostat (MGCD0103)	100.0	182	1692
K562	Mocetinostat (MGCD0103)	1000.0	155	2744
K562	Mocetinostat (MGCD0103)	10000.0	66	4854
K562	Momelotinib (CYT387)	10.0	214	1324
K562	Momelotinib (CYT387)	100.0	201	1422
K562	Momelotinib (CYT387)	1000.0	191	1380
K562	Momelotinib (CYT387)	10000.0	138	2072
K562	Motesanib Diphosphate (AMG-706)	10.0	194	1404
K562	Motesanib Diphosphate (AMG-706)	100.0	268	781
K562	Motesanib Diphosphate (AMG-706)	1000.0	232	1025
K562	Motesanib Diphosphate (AMG-706)	10000.0	209	1051
K562	NVP-BSK805 2HCl	10.0	219	1133
K562	NVP-BSK805 2HCl	100.0	213	1297
K562	NVP-BSK805 2HCl	1000.0	196	1458
K562	NVP-BSK805 2HCl	10000.0	127	3015
K562	Navitoclax (ABT-263)	10.0	220	1128
K562	Navitoclax (ABT-263)	100.0	232	1119
K562	Navitoclax (ABT-263)	1000.0	206	1167
K562	Navitoclax (ABT-263)	10000.0	36	5382
K562	Nilotinib (AMN-107)	10.0	225	1189
K562	Nilotinib (AMN-107)	100.0	138	2862
K562	Nilotinib (AMN-107)	1000.0	106	4014
K562	Nilotinib (AMN-107)	10000.0	126	3366
K562	Nintedanib (BIBF 1120)	10.0	246	762
K562	Nintedanib (BIBF 1120)	100.0	193	1658
K562	Nintedanib (BIBF 1120)	1000.0	151	2730
K562	Nintedanib (BIBF 1120)	10000.0	60	5682
K562	Obatoclax Mesylate (GX15-070)	10.0	227	1011
K562	Obatoclax Mesylate (GX15-070)	100.0	269	848
K562	Obatoclax Mesylate (GX15-070)	1000.0	236	940
K562	Obatoclax Mesylate (GX15-070)	10000.0	77	3900
